ItemCode,ItemName,Warehouse,BinCode,QtyInBin,TotalOnHand,InvntryUom,FrozenFor
01241500-HTZ,DIPSTICK,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01241700-HTZ,OIL SUMP,01,01-03F24,0.0,0.0,UN,N
01241700-HTZ,OIL SUMP,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01244002-HTZ,CON.ROD. 1D80 [REPLACES 01244001],01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01245200-HTZ,ADJUSTING SCREW,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01245415-HTZ,CYL. HEAD COVER,01,01-03F58,0.0,0.0,UN,N
01245415-HTZ,CYL. HEAD COVER,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01246803-HTZ,GOVERNOR LEVER,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01247300-HTZ,PISTON RING SET 100,01,01-03I54,0.0,0.0,UN,N
01247310-HTZ,PISTON RING SET,01,01-03G56,1.0,1.0,UN,N
01247512-HTZ,Accessories Kit,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01247703-HTZ,GASKET SET CYL HEAD 2G40,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01248002-HTZ,STARTING HANDLE 80,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01248810-HTZ,repl by 01248820,01,01-PEG A,0.0,0.0,UN,N
01248810-HTZ,repl by 01248820,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01248820-HTZ,PLATE (01248810),01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01248901-HTZ,OIL FILTER COVER ID80,01,01-03G24,1.0,1.0,UN,N
01249070-HTZ,CRANKCASE 1D60/1D81,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01249211-HTZ,GASK.S.CYL.1D80,01,01-03F70,0.0,0.0,UN,N
01249322-HTZ,GASK.S.CRANKC.60/90,01,01-03H12,2.0,2.0,UN,N
01254604-HTZ,LEVER,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01255200-HTZ,DIPSTICK,01,01-03D26,0.0,0.0,UN,N
01255410-HTZ,OIL SUMP,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01265000-HTZ,PISTON RING SET 1.0,01,01-03D36,0.0,0.0,UN,N
01268500-HTZ,INJECTION PUMP L/M,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01269700-HTZ,OIL PRESSURE PIPE,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01269820-HTZ,CRANKSHAFT,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01269910-HTZ,CRANKSHAFT,01,01-03F04,0.0,0.0,UN,N
01269910-HTZ,CRANKSHAFT,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01270260-HTZ,CRANKCASE,01,01-03J26,0.0,0.0,UN,N
01270300-HTZ,PLATE,01,01-PEG A,2.0,2.0,UN,N
01275611-HTZ,CLOSING PLUG,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01279222-HTZ,STOP RNG SPD CONT S,01,01-03D24,0.0,0.0,UN,N
01279222-HTZ,STOP RNG SPD CONT S,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
